year,name,code,pp_result,fix,pay,prize,paper,graduate,open,protect,compete,fluid,manage,guest,raise,proj,fund
2006,农业部,4,0.01256531,439,14224,1,447,353,0.130033283,0.003151991,1,0.332574032,0.938196689,146,15161,556,21805
2006,卫生部,5,0.005179664,528,8740,0,181,164,0.871540467,0.043385306,0.375857309,0.128787879,0.751633987,68,11628,231,12497
2006,中国气象局,14,0.00037404,66,26,0,40,12,0.763375473,0.048603555,0.63279672,0.787878788,0.032911392,52,790,45,7477
2006,国家海洋局,15,0.002285302,202,5577,0,124,61,0.106197129,0.001057929,1,0.079207921,0.584836409,16,9536,132,10376
2006,中国地震局,9,0.001300632,81,1440,1,67,17,0.094258314,0.007310332,1,0.851851852,0.906801008,69,1588,71,1455
2006,中国科学院,6,0.141422352,6342,274396,12,8893,2247,0.08668277,0.002982975,1,0.411857458,0.830863517,2612,330254,5735,171956
2006,河北,16,0.003064551,43,1880,1,128,69,1.422820046,0.0603609,0.5410356,0.76744186,0.974093264,33,1930,101,1559
2006,山西,11,0.000964793,56,1283,1,41,13,1.458874074,0.100053605,1,0.25,0.709623894,14,1808,77,1322
2006,四川,13,0.005843423,171,6249,1,102,201,1.02837972,0.055076735,0.383107005,0.269005848,0.648640233,46,9634,409,9421
2006,陕西,17,0.002793895,38,3452,0,105,91,1.458874074,0.100053605,1,0.763157895,0.936516549,29,3686,91,2345
2006,总后卫生部,10,0.007892082,430,7005,1,442,151,0.821450559,0.029826064,0.48333575,0.179069767,0.656083169,77,10677,314,11954
2007,合计,1,0.825235727,10764,413828,81,42118,16795,0.751348326,0.05621981,0.530230939,0.347733185,0.709769041,3743,583046,17440,603004
2007,教育部,7,0.556482817,5710,236595,61,25190,12491,0.708168709,0.002271591,1,0.3558669,0.695460598,2032,340199,11164,352101
2007,国防科工委,8,0.024563772,207,10428,0,1440,494,1.557436912,0.108719412,1,0.333333333,0.74608285,69,13977,99,7883
2007,国家卫生健康委员会,3,0.000511454,30,2154,0,40,18,0.964535915,0.044940027,0.371842592,0.433333333,0.55344296,13,3892,49,2381
2007,农业部,4,0.020177307,278,12661,3,1097,370,0.129274668,0.002548296,1,0.248201439,0.973848166,69,13001,361,18144
2007,卫生部,5,0.008688735,274,6137,1,539,146,0.929352024,0.040764722,0.374648381,0.124087591,0.782580974,34,7842,200,7867
2007,中国气象局,14,0.001944793,33,620,2,81,15,0.824596526,0.051121693,0.63279672,0.96969697,0.784810127,32,790,37,3698
2007,国家海洋局,15,0.000563072,40,2847,0,65,10,0.108671921,0.001471362,1,0.15,0.813428571,6,3500,31,1879
2007,中国地震局,9,0.000914745,43,910,0,100,11,0.090400155,0.006620696,1,0.604651163,0.552855407,26,1646,51,1112
2007,中国科学院,6,0.181546848,3679,124367,12,12260,2618,0.101454683,0.003021562,0.7383835,0.365588475,0.691315683,1345,179899,4709,188474
2007,河北,16,0.002537762,50,1972,0,146,63,1.509908275,0.065469881,0.5410356,0.54,0.940839695,27,2096,69,1888
2007,山西,11,0.000478531,25,772,0,56,10,1.557436912,0.108719412,1,0.28,0.896631823,7,861,63,614
2007,四川,13,0.009391654,94,7240,1,292,278,1.038853194,0.051672462,0.385644497,0.319148936,0.832375259,30,8698,265,2536
2007,陕西,17,0.003799086,41,1063,0,173,107,1.557436912,0.108719412,1,0.87804878,0.928384279,36,1145,91,5935
2007,总后卫生部,10,0.010040321,260,6062,1,639,164,1.007787497,0.047883238,0.4722828,0.065384615,1.102181818,17,5500,251,8492
2008,合计,1,0.780300644,13135,567882,80,34490,17986,0.572263378,0.042894519,0.50424602,0.357518081,0.4675623,4696,1214559,21860,820115
2008,教育部,7,0.488656875,6584,307980,47,19226,12317,1.556675861,0.008656093,1,0.379252734,0.396224813,2497,777286,13425,452359
2008,工业与信息化部,18,0.033126251,405,20376,4,1197,870,0.735538728,0.002951304,1,0.308641975,0.733028744,125,27797,321,23410
2008,国家卫生健康委员会,3,0.000527288,43,2301,0,49,15,1.5288181,0.104319806,1,0.372093023,0.528965517,16,4350,61,2624
2008,农业部,4,0.019599656,307,20702,3,1016,378,0.963573545,0.042113499,0.371857462,0.218241042,0.714897438,67,28958,587,28630
2008,卫生部,5,0.006524346,302,8401,2,215,160,0.146305516,0.002906066,1,0.129139073,0.558762887,39,15035,250,11604
2008,中国气象局,14,0.000752103,47,26,0,90,8,1.047670706,0.000560113,1,0.957446809,0.003297818,45,7884,51,7384
2008,国家海洋局,15,0.000924138,44,5260,0,101,11,0.929266599,0.037440952,0.374806349,0.431818182,0.684539302,19,7684,67,4631
2008,中国地震局,9,0.000637057,46,1028,0,68,12,0.828484932,0.049635338,0.63279672,0.652173913,0.289904117,30,3546,57,1445
2008,中国科学院,6,0.177777609,4586,165428,19,10894,2843,0.370603247,3.99E-05,1,0.357392063,0.583619096,1639,283452,5958,248356
2008,河北,16,0.003301085,53,2586,1,180,58,0.149922345,0.000958843,1,0.528301887,0.723559037,28,3574,106,2651
2008,山西,11,0.000672932,27,1544,0,45,23,0.09330995,0.006362785,1,0.37037037,0.529129541,10,2918,70,983
2008,江苏,19,0.007870986,60,2990,1,174,260,0.106178021,0.002897157,0.7383835,0.216666667,0.696807271,13,4291,72,3021
2008,山东,20,0.005458882,53,1998,0,62,225,1.482657963,0.062758607,0.5410356,0.226415094,0.609703998,12,3277,42,2140
2008,广东,21,0.001145558,52,3351,0,88,26,1.5288181,0.104319806,1,0.192307692,0.62506995,10,5361,39,1961
2008,四川,13,0.013262583,150,11980,1,353,422,1.037590862,0.049149366,0.385644497,0.506666667,0.789196311,76,15180,351,11765
2008,陕西,17,0.003375753,43,5454,0,145,100,1.5288181,0.104319806,1,0.790697674,0.618437465,34,8819,93,4887
2008,总后勤部卫生部,22,0.012263134,333,6477,2,587,258,1.008173775,0.044859445,0.4722828,0.108108108,0.427609428,36,15147,310,12263
2009,合计,1,0.826307935,14210,716787,106,37608,18082,0.644534985,0.045365336,0.50424602,0.417241379,0.735096037,5929,975093,16165,656560
2009,教育部,7,0.524223231,6998,367558,67,21794,12329,1.340276168,0.00991769,1,0.492140612,0.729160219,3444,504084,8867,318780
2009,工业与信息化部,18,0.039154203,440,29295,7,1458,953,0.708281607,0.001843469,1,0.345454545,0.749788846,152,39071,284,13122
2009,国家卫生健康委员会,3,0.000637684,46,4180,0,51,19,1.759954002,0.111223126,1,0.565217391,0.886156455,26,4717,55,1717
2009,农业部,4,0.016689072,315,28861,2,868,336,0.990176026,0.035923713,0.371857462,0.193650794,1.266166535,61,22794,426,26764
2009,卫生部,5,0.007079686,361,13989,1,297,175,0.17276315,0.003684489,1,0.16066482,0.62714068,58,22306,250,10590
2009,中国气象局,14,0.000739849,49,2,0,57,21,0.911613104,0.000272023,1,0.367346939,0.00154321,18,1296,47,6850
2009,国家海洋局,15,0.000762124,42,4400,0,74,15,0.926055201,0.026113135,0.374806349,0.785714286,0.834914611,33,5270,53,3824
2009,中国地震局,9,0.000590089,50,1786,0,63,12,0.913415587,0.052173489,0.63279672,0.86,0.758064516,43,2356,42,1223
2009,中国科学院,6,0.181700305,5093,234778,21,11161,2856,0.368707773,3.15E-05,1,0.360691145,0.740155296,1837,317201,5336,242111
2009,河北,16,0.005355758,55,1817,1,211,135,0.141679758,0.001128264,1,0.490909091,0.673711531,27,2697,83,638
2009,山西,11,0.000850873,28,2473,0,42,32,0.081983582,0.010102453,1,0.357142857,1.196419932,10,2067,67,694
2009,江苏,19,0.005244199,64,2860,1,204,133,0.126351363,0.00288275,0.7383835,0.40625,0.711619806,26,4019,62,1912
2009,山东,20,0.006260259,60,4894,2,143,178,1.557897418,0.066913427,0.5410356,0.333333333,1,20,4894,56,3984
2009,广东,21,0.001664116,51,315,1,74,30,1.759954002,0.111223126,1,0.235294118,0.303760849,12,1037,31,955
2009,四川,13,0.018500434,160,11925,2,483,573,1.095078413,0.046476669,0.385644497,0.61875,0.697613198,99,17094,192,6028
2009,陕西,17,0.00344446,53,2716,0,145,103,1.759954002,0.111223126,1,0.471698113,0.411328184,25,6603,41,3207
2009,总后勤部卫生部,22,0.008987184,345,7654,1,483,182,1.073655634,0.048836065,0.4722828,0.110144928,0.435207824,38,17587,273,14161
2010,合计,1,0.843778947,15250,1478600,80,39129,18855,0.438702068,0.04319711,0.50424602,0.442163934,1.149579889,6743,1286209,26675,1022103
2010,教育部,7,0.543883412,7387,801875,55,23552,12759,1.052474696,0.013408289,1,0.520238256,1.224659195,3843,654774,16391,609771
2010,工业与信息化部,18,0.034962257,491,61331,4,1568,798,0.555263347,0.00270498,1,0.356415479,1.305720551,175,46971,543,31269
2010,国家卫生健康委员会,3,0.000778586,48,6923,0,66,19,1.201498524,0.12997061,1,0.729166667,1.91454646,35,3616,76,2632
2010,农业部,4,0.017573439,367,61149,3,871,349,0.709290677,0.041292457,0.371857462,0.201634877,1.668048774,74,36659,600,36518
2010,卫生部,5,0.00793115,426,38826,0,313,230,0.116889877,0.005159385,1,0.218309859,1.215135203,93,31952,371,16975
2010,中国气象局,14,0.001015212,45,447,0,79,24,0.668488239,7.23E-05,1,2.822222222,0.391761613,127,1141,50,3584
2010,国家海洋局,15,0.000733944,42,4500,0,71,15,0.672628937,0.030130647,0.374806349,0.642857143,0.875486381,27,5140,54,1223
2010,中国地震局,9,0.000521382,54,5126,0,63,9,0.632875208,0.057485614,0.63279672,0.833333333,1.95648855,45,2620,49,1656
2010,中国科学院,6,0.18075882,5534,425364,16,10985,3009,0.278954678,1.17E-05,1,0.389410914,0.952411233,2155,446618,7232,278763
2010,河北,16,0.007340617,64,6238,0,216,244,0.079188588,0.001257898,1,0.421875,1.402428058,27,4448,126,3033
2010,山西,11,0.000595995,32,2475,0,49,18,0.069960912,0.012994235,1,0.40625,0.91160221,13,2715,58,2977
2010,江苏,19,0.004850265,64,4990,0,163,157,0.116135662,0.002967986,0.7383835,0.390625,1.022540984,25,4880,106,2888
2010,山东,20,0.004771758,61,8652,1,83,162,1.087326548,0.078085415,0.5410356,0.262295082,2.494809689,16,3468,65,2507
2010,广东,21,0.002031807,51,337,1,40,60,1.201498524,0.12997061,1,0.215686275,0.16625555,11,2027,35,2931
2010,四川,13,0.016514487,158,29947,0,449,549,0.775435067,0.053987244,0.385644497,0.658227848,1.369694475,104,21864,375,13548
2010,陕西,17,0.002903128,55,2287,0,102,97,1.201498524,0.12997061,1,0.454545455,0.399545772,25,5724,139,3863
